Text,Class Label,Class Index
international leaders meet for climate summit delegates from several countries discuss a new agreement to reduce global emissions,World,0
peace talks resume after border dispute representatives return to negotiations in an effort to resolve the regional conflict peacefully,World,0
rescue teams deliver aid after major earthquake emergency workers distribute food and medical supplies to communities affected by the disaster,World,0
united nations approves humanitarian mission the international organization will send observers and relief workers to support displaced families,World,0
government announces new regional cooperation plan neighboring nations agree to share resources and improve diplomatic relations,World,0
foreign ministers discuss security agreement officials say the proposed treaty could strengthen cooperation between allied countries,World,0
thousands attend national independence celebration crowds gather in the capital as officials mark the anniversary with ceremonies and concerts,World,0
international court hears arguments in case lawyers from both sides present evidence during a hearing involving several governments,World,0
home team wins championship final the club scored twice in the second half to secure a dramatic victory in front of its supporters,Sports,1
tennis champion advances to tournament semifinal the top seed defeated a strong opponent in a close three set match,Sports,1
coach names squad for international competition the manager selected experienced players and several young athletes for the upcoming event,Sports,1
olympic runners begin final preparation national athletes are increasing their training before traveling to the summer games,Sports,1
basketball league announces new season schedule teams will begin competing next month in arenas across the country,Sports,1
football striker signs contract with leading club the young forward joins the team after an impressive season with his former side,Sports,1
swimmer breaks national record in final race the athlete finished first and improved the previous record by nearly one second,Sports,1
baseball team completes comeback victory three late runs helped the visitors win an exciting game against their rivals,Sports,1
technology company reports strong quarterly growth the firm said revenue increased after demand for its cloud services rose worldwide,Business,2
central bank keeps interest rates unchanged policy makers decided to maintain current rates while monitoring inflation and employment,Business,2
investors welcome improved earnings report shares climbed after the retailer announced higher profits for the latest quarter,Business,2
oil prices fall as supply forecasts improve energy markets declined after analysts predicted greater production during the coming months,Business,2
new factory expected to create thousands of jobs the manufacturer will invest in a production facility after receiving support from local officials,Business,2
airline announces expansion into new markets the carrier plans to add routes and purchase aircraft as travel demand continues to recover,Business,2
consumer spending rises during holiday season businesses reported strong sales as shoppers visited stores and online marketplaces,Business,2
company completes merger with major competitor the deal is expected to change competition across the financial services industry,Business,2
researchers develop faster artificial intelligence processor the new chip can perform complex calculations while using less energy than previous designs,Sci/Tech,3
scientists discover promising clean energy material a research team found a material that could improve the efficiency of future solar panels,Sci/Tech,3
smartphone maker unveils improved camera system the latest device includes advanced sensors and software for clearer photographs,Sci/Tech,3
software engineers release critical security update the patch fixes several vulnerabilities that could affect users of the popular application,Sci/Tech,3
space agency launches telescope into orbit the instrument will study distant galaxies and collect data about the early universe,Sci/Tech,3
robots learn to navigate crowded environments engineers trained an autonomous system to move safely around people and obstacles,Sci/Tech,3
medical researchers test new treatment method early results suggest the experimental therapy may help patients recover more quickly,Sci/Tech,3
computer scientists improve online privacy tools the project introduces new methods for protecting personal information on the internet,Sci/Tech,3
